# Kaiser - Yakutat Alsek Logging Road - PCSI - ITRDB AK137
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16477
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16477.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak137-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak137-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak137.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak137.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Kaiser - Yakutat Alsek Logging Road - PCSI - ITRDB AK137
#--------------------
# Investigators
#   Investigators: Kaiser, F.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Yakutat Alsek Logging Road
#   Location: Alaska
#   Northernmost_Latitude: 59.5417
#   Southernmost_Latitude: 59.5417
#   Easternmost_Longitude: -139.3511
#   Westernmost_Longitude: -139.3511
#   Elevation_m: 54
#--------------------
# Data_Collection
#   Collection_Name: AK137
#   First_Year: 1576
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Picea sitchensis (Bong.) Carrière
#   Common_Name: Sitka spruce
#   Tree_Species_Code: PCSI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ALSE00E0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00E0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00F0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00F0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00L0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00L0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00B0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00B0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00N0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00N0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00M0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00M0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00G0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00G0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00A0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00A0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00D0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00D0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00O0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00O0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00C0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00C0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ALSE00E0_raw	ALSE00F0_raw	ALSE00L0_raw	ALSE00B0_raw	ALSE00N0_raw	ALSE00M0_raw	ALSE00G0_raw	ALSE00A0_raw	ALSE00D0_raw	ALSE00O0_raw	ALSE00C0_raw
1778	1.28	0.89	NA	1.58	1.8	2	1.09	0.64	0.58	1.18	1.13
1779	0.95	0.78	NA	2.36	1.73	1.55	0.82	0.71	0.54	0.8	1.07
1780	1.01	0.87	NA	2	1.97	2.24	1.05	0.85	0.75	0.94	1.11
1781	0.85	0.71	NA	1.32	1.65	1.92	0.95	0.91	0.65	0.86	0.95
1782	1.28	1.38	NA	1.48	2.4	2.84	1.71	0.94	0.72	0.91	1.25
1783	1.26	1.39	NA	0.97	1.7	2.85	1.1	0.96	0.45	0.95	1.18
1784	1.55	1.29	NA	1.26	2.13	3.32	0.91	0.88	0.68	1.35	1.21
1785	1.2	0.92	NA	0.96	1.42	2.46	0.69	0.74	0.65	1.14	0.98
1786	1.04	1.09	NA	1.17	1.5	1.8	0.79	0.64	0.63	0.95	1.02
1787	0.82	1.12	NA	0.92	1.47	1.73	0.76	0.6	0.69	0.71	1.07
1788	1.05	1.55	0.94	1.14	2.01	2.35	0.87	0.89	0.91	1.02	1.5
1789	1.05	1.34	0.88	0.98	1.83	2.1	0.76	0.87	0.81	0.72	1.15
1790	1.17	1.21	0.58	1.34	2.1	2.42	1.13	0.9	0.92	0.89	1.2
1791	1.37	1.4	0.61	1.31	2.06	2.64	0.97	0.85	0.96	0.96	0.95
1792	1.37	1.81	0.9	1.54	2.42	3.19	0.91	1.14	1.09	1.6	1.1
1793	1.22	1.81	0.76	1.67	2.04	2.52	1.11	1.05	1.02	1.39	0.76
1794	1.63	1.98	1.33	1.99	2.03	2.81	2	1.3	1.47	1.6	0.96
1795	1.97	2.22	2.01	1.34	2.25	3.08	2.41	1.57	1.63	1.71	1.03
1796	1.87	1.67	1.15	1.27	1.68	2.75	1.79	1.33	1.65	1.52	0.89
1797	1.8	2.08	0.7	1.3	1.66	3.07	2.11	1.24	1.58	1.67	1.18
1798	1.33	1.48	0.23	1.19	1.35	1.79	1.51	1.13	1.11	1.04	0.78
1799	1.41	1.36	0.26	1.35	1.32	1.56	1.43	1.04	1.22	0.89	0.87
1800	1.43	1.01	0.15	1.11	1.42	1.58	1.03	0.85	1.03	0.77	0.83
1801	1.46	0.99	0.26	1.2	1.53	1.48	1.04	0.99	0.91	0.67	0.81
1802	1.26	0.99	0.25	0.9	1.39	1.34	1.04	1.07	0.71	0.72	0.86
1803	1.38	1.26	0.3	1.06	1.51	1.93	1.22	1.31	1.02	1.06	1.05
1804	1.62	1.34	0.22	0.95	1.68	1.91	1.2	1.39	1.32	1.35	1.19
1805	1.66	1.22	0.33	0.83	1.58	1.63	0.98	1.44	1.13	1.44	1.19
1806	2.19	1.35	0.35	0.8	0.79	1.42	1.14	0.86	0.94	1.28	1.03
1807	1.8	0.98	0.43	0.62	0.45	1.32	0.98	0.58	0.8	0.94	0.68
1808	1.22	0.88	0.28	0.42	0.34	1.07	0.81	0.45	0.6	0.81	0.56
1809	0.77	0.61	0.21	0.24	0.15	0.78	0.49	0.27	0.48	0.58	0.27
1810	0.49	0.35	0.19	0.17	0.19	0.59	0.39	0.25	0.3	0.4	0.18
1811	0.33	0.22	0.16	0.08	0.05	0.34	0.23	0.15	0.24	0.33	0.15
1812	0.19	0.17	0.07	0.09	0.09	0.37	0.22	0.17	0.23	0.3	0.08
1813	0.3	0.27	0.1	0.22	0.14	0.6	0.23	0.25	0.14	0.27	0.16
1814	0.26	0.41	0.15	0.21	0.3	0.58	0.29	0.31	0.2	0.26	0.19
1815	0.33	0.61	0.28	0.34	0.5	0.7	0.42	0.39	0.34	0.43	0.2
1816	0.44	0.88	0.33	0.52	0.75	1.12	0.61	0.51	0.38	0.5	0.24
1817	0.44	0.67	0.41	0.66	0.89	1.01	0.55	0.46	0.31	0.44	0.22
1818	0.48	0.9	0.43	0.65	1.02	1.11	0.84	0.44	0.36	0.48	0.3
1819	0.6	1.05	0.5	0.79	1.44	1.4	1.25	0.42	0.35	0.47	0.39
1820	0.87	1.04	0.47	1.03	1.49	1.78	1.41	0.55	0.46	0.75	0.49
1821	0.98	1.13	0.38	1.23	1.74	1.93	1.66	0.55	0.44	0.89	0.46
1822	0.89	0.95	0.3	1.27	1.86	1.39	1.56	0.41	0.42	0.8	0.42
1823	0.74	0.83	0.32	1.34	1.44	1.27	1.37	0.55	0.39	0.78	0.51
1824	0.96	1	0.24	1.32	1.41	1.4	1.67	0.7	0.38	0.91	0.54
1825	0.95	1.05	0.24	1.05	1.39	1.33	1.78	0.92	0.58	0.95	0.51
1826	0.91	0.78	0.26	0.73	1.16	0.85	1.19	0.76	0.36	0.56	0.47
1827	1.01	0.81	0.59	0.97	1.55	1.03	1.01	0.76	0.39	0.45	0.44
1828	1.35	1.22	0.73	1.18	1.73	1.35	1.28	0.87	0.48	0.56	0.49
1829	1.41	1.36	1.11	1.56	1.83	1.51	1.58	0.99	0.57	0.64	0.58
1830	1.57	0.94	1.33	1.44	1.99	1.29	1.6	0.92	0.63	0.51	0.61
1831	1.22	0.63	1.1	1.11	1.88	1.26	1.21	0.65	0.48	0.31	0.39
1832	1.22	0.56	1.39	1.18	1.83	1.44	1.42	0.83	0.71	0.6	0.49
1833	0.91	0.39	1.25	0.61	1.35	1.11	0.99	0.68	0.73	0.55	0.35
1834	0.67	0.38	0.93	0.36	0.92	0.65	0.72	0.57	0.46	0.4	0.17
1835	0.66	0.36	0.96	0.35	0.86	0.68	0.68	0.49	0.49	0.38	0.18
1836	0.68	0.47	1.12	0.32	0.87	0.72	0.74	0.45	0.38	0.4	0.28
1837	0.62	0.37	1.09	0.17	0.56	0.59	0.6	0.35	0.46	0.29	0.18
1838	0.56	0.51	1	0.4	0.85	0.72	0.77	0.44	0.52	0.42	0.25
1839	0.59	0.55	0.68	0.49	1.1	0.87	0.78	0.44	0.44	0.33	0.3
1840	0.7	0.64	1	1.05	1.48	1.09	1.09	0.56	0.4	0.5	0.42
1841	0.86	0.89	1.14	1.35	1.67	1.51	1.37	0.72	0.45	0.8	0.5
1842	0.99	0.87	1.34	1.15	1.71	1.35	1.76	0.67	0.33	0.6	0.43
1843	1.41	1.26	1.88	1.32	1.5	1.92	3.27	0.83	0.51	1	0.56
1844	1.36	1.13	1.91	1.13	1.52	2.38	2.6	0.92	0.53	1.18	0.57
1845	1	1.04	1.36	0.88	1.37	1.68	1.78	0.79	0.5	0.96	0.4
1846	0.91	0.86	1.06	1.23	1.76	1.63	1.71	0.69	0.62	1	0.34
1847	0.77	0.96	1.2	0.98	1.71	1.02	1.27	0.49	0.6	0.66	0.29
1848	0.8	1.11	1.22	0.97	1.41	1.32	1.44	0.58	0.64	0.74	0.37
1849	0.67	0.94	1.32	0.86	0.85	1.23	1.63	0.49	0.53	0.7	0.27
1850	0.59	0.7	1.01	0.63	0.78	1.09	1.5	0.37	0.38	0.62	0.25
1851	0.6	0.8	0.83	0.57	1.04	1.09	1.29	0.39	0.42	0.68	0.2
1852	0.63	0.63	0.62	0.67	1.19	1.04	1.25	0.42	0.4	0.58	0.29
1853	0.58	0.68	0.77	0.84	1.35	0.82	1.11	0.39	0.36	0.43	0.29
1854	0.6	0.59	0.64	0.83	1.29	0.66	1.09	0.39	0.28	0.41	0.29
1855	0.75	0.64	0.71	1.27	1.48	1.19	1.46	0.52	0.38	0.67	0.31
1856	0.71	0.39	0.81	1.07	1.41	1.02	1.19	0.34	0.39	0.37	0.19
1857	0.79	0.6	0.86	1.02	1.28	0.95	1	0.44	0.44	0.48	0.25
1858	0.6	0.75	0.82	1.01	1	1.27	1.11	0.49	0.48	0.48	0.25
1859	0.53	0.78	1.28	0.92	1.05	1.02	1.13	0.48	0.45	0.43	0.27
1860	0.79	1.16	2.07	1.26	1.3	1.79	1.85	0.56	0.51	0.69	0.34
1861	0.92	1.29	2.43	1.31	1.33	1.64	2.37	0.72	0.49	0.91	0.31
1862	1.02	0.91	2.11	0.9	0.97	0.6	1.46	0.53	0.26	0.59	0.18
1863	0.76	0.77	1.5	1.06	1.25	0.54	0.91	0.34	0.16	0.34	0.09
1864	0.62	0.84	1.8	1.08	1.66	0.76	0.97	0.42	0.23	0.25	0.21
1865	0.66	1.37	2.03	1.34	1.82	0.99	1.25	0.43	0.35	0.39	0.27
1866	0.78	1.57	2.64	1.19	2.13	1.22	1.36	0.42	0.42	0.47	0.27
1867	0.68	0.89	2.98	0.47	1.18	1.13	0.91	0.42	0.4	0.47	0.14
1868	0.53	0.79	3.5	0.55	0.94	1.14	1.01	0.46	0.41	0.6	0.26
1869	0.53	0.94	3.72	1.04	1.08	1.26	0.93	0.42	0.44	0.68	0.22
1870	0.67	1.24	4.08	1.74	1.79	1.64	1.22	0.76	0.53	0.91	0.3
1871	0.72	1.14	2.56	1.81	1.76	1.53	1.26	0.83	0.45	0.62	0.31
1872	0.88	1.35	2.52	2.18	1.64	1.46	1.47	0.76	0.56	0.7	0.34
1873	1.13	1.19	2.56	2.26	2.28	1.38	1.33	0.87	0.49	0.73	0.35
1874	1.15	1.25	2.41	1.89	1.81	1.22	1.29	0.77	0.41	0.73	0.3
1875	0.78	0.45	1.65	0.71	1.07	0.68	0.8	0.3	0.17	0.31	0.1
1876	0.31	0.14	1.09	0.25	0.23	0.35	0.38	0.11	0.09	0.06	0.02
1877	0.47	0.29	1.43	0.21	0.59	0.63	0.49	0.18	0.2	0.19	0.02
1878	0.56	0.42	2.52	0.35	1	0.55	0.57	0.21	0.23	0.28	0.02
1879	0.49	0.42	2.96	0.48	1.07	0.54	0.71	0.27	0.19	0.25	0.07
1880	0.44	0.25	2.52	0.82	1.23	0.6	0.76	0.32	0.19	0.28	0.18
1881	0.52	0.5	3.08	0.93	1.5	0.9	0.92	0.46	0.3	0.4	0.24
1882	0.51	0.76	3.08	1.41	1.86	1.01	0.77	0.57	0.26	0.31	0.09
1883	0.68	1.49	4.72	2.16	2.54	1.42	1.79	0.79	0.42	0.41	0.17
1884	0.86	2.11	5.46	2.88	3.42	1.64	1.97	1	0.52	0.62	0.25
1885	0.78	2.04	4.34	2.39	3.23	1.52	1.84	1.1	0.66	0.69	0.25
1886	0.76	1.98	4.78	2.24	3.07	1.54	1.7	1.15	0.57	0.78	0.32
1887	0.68	1.73	3.17	2.06	1.93	1.3	1.3	0.77	0.43	0.66	0.15
1888	0.76	3.01	3.25	3.47	2.47	2.02	1.52	1.14	0.5	1.01	0.27
1889	0.51	2.93	3.37	3.99	2.72	1.69	1.32	1.36	0.51	0.74	0.24
1890	0.71	3.27	4.17	4.02	2.84	1.89	1.49	1.48	0.54	0.78	0.3
1891	0.94	3.05	5.17	3.94	3.13	2.05	1.73	1.5	0.62	0.98	0.3
1892	0.97	3.01	5.07	4.07	3.53	2.59	2.03	1.79	0.77	1.05	0.27
1893	0.94	2.98	3.96	3.74	3.18	2.27	1.79	1.55	0.78	1.21	0.31
1894	0.66	2.33	2.99	3.11	2.73	1.7	1.34	1.14	0.56	0.82	0.26
1895	0.7	2.23	3.38	2.98	2.62	1.9	1.42	1.17	0.66	1.07	0.26
1896	0.92	2.64	3.97	2.8	2.64	2.02	1.42	1.38	0.64	1.09	0.31
1897	1.37	3.04	4.94	3.38	2.88	2.26	1.92	1.67	0.73	1.06	0.43
1898	1.66	3.35	4.82	3.47	3.32	2.24	2.66	2.03	0.71	1.04	0.52
1899	1.39	3.06	3.72	3.99	3.28	2.16	2.34	2.05	0.72	0.96	0.54
1900	1.53	2.75	3.92	3.5	2.99	2.11	2	2.12	0.73	0.97	0.63
1901	1.13	2.44	3.19	3.61	2.94	1.89	1.57	1.98	0.78	0.92	0.57
1902	1.2	3.79	4.33	4.2	3.15	2.74	1.91	2.26	0.86	1.15	0.67
1903	0.92	3.65	3.57	4.27	3.19	2.44	1.83	1.83	0.84	0.92	0.6
1904	0.79	2.2	2.28	3.49	2.5	1.65	1.33	1.18	0.51	0.53	0.28
1905	1.39	3.37	3.6	4.52	2.73	2.35	1.67	1.73	0.83	0.73	0.47
1906	1.04	2.32	3.35	2.94	1.86	1.82	1.17	1.46	0.7	0.54	0.37
1907	1.16	2.84	3.76	3.03	2.63	1.81	1.32	1.61	0.82	0.63	0.43
1908	1.27	3.1	4.18	2.98	2.36	2.09	1.69	1.91	0.86	0.63	0.44
1909	1.44	2.89	4.13	2.24	2.2	1.84	1.91	1.89	0.8	0.77	0.56
1910	1.29	2.25	3.61	1.97	2.02	1.36	1.52	1.55	0.62	0.59	0.57
1911	1.23	2.5	3.43	2.11	1.7	1.35	1.93	1.79	0.66	0.56	0.66
1912	1.3	2.17	3.56	2.42	1.7	1.43	2.2	1.85	0.76	0.6	0.48
1913	0.95	2.61	3.48	2.16	1.81	1.4	1.89	1.77	0.82	0.77	0.61
1914	0.9	2.91	3.6	2.01	1.81	1.64	1.88	1.89	0.81	0.78	0.6
1915	0.85	3.81	4.22	2.24	2.03	2.02	1.94	2.62	1.05	1.13	0.6
1916	0.73	2.76	3.11	1.38	1.51	1.37	1.44	1.83	0.78	0.63	0.34
1917	0.59	2.44	2.83	1.33	1.65	1.57	1.36	1.57	0.67	0.49	0.3
1918	0.75	2.8	2.87	1.97	1.77	1.93	1.54	1.78	0.76	0.54	0.37
1919	0.77	2.5	2.25	2.16	1.6	1.54	1.4	1.61	0.54	0.48	0.36
1920	0.79	3.14	2.85	2.5	2.03	1.81	1.56	1.8	0.63	0.59	0.45
1921	0.86	3.49	3.28	2.83	2.38	2.17	1.84	2.01	0.74	0.77	0.52
1922	0.77	2.68	2.54	2.21	2.09	1.86	1.83	1.69	0.49	0.57	0.44
1923	0.89	2.85	3.14	2.62	2.38	2.18	2.03	1.88	0.67	0.81	0.64
1924	0.81	2.15	2.46	2.02	1.67	1.74	1.94	1.61	0.42	0.73	0.38
1925	0.8	2.12	2.54	2.46	1.7	1.6	1.75	1.41	0.49	0.63	0.57
1926	0.79	2.34	1.85	3	1.5	1.97	1.85	1.44	0.47	0.84	0.52
1927	0.74	1.91	2.37	2.68	1.7	1.57	1.65	1.44	0.4	0.63	0.45
1928	0.79	1.89	2.48	2.42	1.57	1.71	1.69	1.32	0.45	0.64	0.51
1929	0.77	2.22	2.74	2.7	1.94	1.61	1.64	1.4	0.5	0.65	0.56
1930	0.75	2.56	2.44	2.88	1.79	1.34	1.43	1.22	0.46	0.52	0.5
1931	0.89	2.79	2.8	3.54	1.78	1.69	1.81	1.36	0.58	0.77	0.69
1932	0.85	2.54	2.61	2.98	1.96	1.54	1.61	1.38	0.63	0.55	0.65
1933	0.87	2.39	3.01	3.17	1.82	1.54	1.7	1.52	0.79	0.67	0.78
1934	0.87	2.05	3.04	2.95	1.57	1.47	1.85	1.32	0.65	0.56	0.69
1935	0.87	1.74	2.61	2.71	1.5	1.5	1.76	1.43	0.62	0.55	0.67
1936	0.85	1.93	2.32	2.43	1.71	1.52	1.71	1.52	0.54	0.75	0.93
1937	0.47	1.26	1.67	1.85	1.49	0.96	1.3	1.36	0.39	0.38	0.59
1938	0.36	1.77	1.62	2.23	1.51	0.92	1.29	1.36	0.33	0.39	0.55
1939	0.54	1.93	1.84	2.23	1.58	1.17	1.28	1.36	0.44	0.33	0.75
1940	0.48	2.2	2.67	2.64	2.07	1.24	1.53	1.59	0.55	0.5	0.91
1941	0.42	1.87	2.08	2.24	1.72	1.03	1.28	1.5	0.45	0.47	0.55
1942	0.66	1.92	2.51	2.49	2.02	1.46	1.61	1.64	0.59	0.61	0.58
1943	0.6	1.95	2	2.16	1.61	1.32	1.42	1.34	0.54	0.52	0.6
1944	0.72	2.54	2.49	2.29	1.32	1.77	1.69	1.23	0.73	0.62	0.69
1945	0.69	2.78	3.25	2.33	1.69	1.77	1.94	1.53	0.78	0.72	0.75
1946	0.82	3.75	3.32	2.51	1.66	1.75	2.23	1.68	0.97	0.88	0.98
1947	0.72	2.31	2.67	2.01	1.31	1.41	1.91	1.42	0.67	0.55	0.69
1948	0.7	1.89	2.43	1.79	1	1.36	1.34	1.57	0.59	0.59	0.61
1949	0.47	2	1.94	1.6	0.91	0.91	0.96	1.07	0.52	0.32	0.49
1950	0.56	2.25	1.78	1.77	0.76	0.99	1	1.24	0.49	0.42	0.58
1951	0.42	1.61	1.73	1.19	0.8	0.84	0.88	1.13	0.38	0.33	0.48
1952	0.39	1.43	1.66	1.12	0.88	0.88	0.93	1.05	0.43	0.35	0.48
1953	0.55	2.24	2.64	1.68	1.15	1.53	1.34	1.52	0.54	0.52	0.76
1954	0.46	2.03	2.56	1.49	1.35	1.18	1.43	1.41	0.45	0.45	0.61
1955	0.44	2.01	2.44	1.63	1.48	1.04	1.5	1.35	0.52	0.44	0.53
1956	0.5	1.67	2.35	1.41	1.21	0.95	1.15	1.15	0.48	0.39	0.62
1957	0.56	1.58	2.63	1.69	1.17	1.15	1.11	1.33	0.5	0.48	0.68
1958	0.4	0.93	2	1.23	0.77	0.96	0.97	1.3	0.42	0.4	0.44
1959	0.61	1.42	1.97	1.23	1.1	1.08	1	1.34	0.73	0.49	0.58
1960	0.56	1.85	2.51	1.68	1.4	1.06	1.25	1.55	0.83	0.54	0.59
1961	0.46	1.91	2.39	1.84	1.27	1.08	1.21	1.51	0.97	0.53	0.62
1962	0.48	1.6	1.93	1.66	1.18	0.97	1.06	1.31	0.74	0.45	0.52
1963	0.55	1.33	2.08	1.7	1.3	1.02	0.82	1.53	0.74	0.48	0.5
1964	0.57	1.37	1.78	1.55	1.36	0.92	0.78	1.4	0.54	0.53	0.45
1965	0.6	1.73	1.63	1.56	1.29	0.9	0.83	1.17	0.52	0.48	0.53
1966	0.63	1.45	1.9	1.69	1.24	0.95	0.95	1.23	0.47	0.6	0.65
1967	0.47	0.96	1.84	1.36	1.13	0.85	0.82	1.02	0.39	0.48	0.48
1968	0.56	0.58	1.79	1.31	1.42	1.03	0.8	1.19	0.57	0.53	0.71
1969	0.68	0.4	1.79	0.91	1.29	0.84	0.91	1.16	0.67	0.52	0.97
1970	0.47	0.33	1.61	0.81	1.1	0.74	0.76	0.91	0.69	0.3	0.71
1971	0.37	0.31	1.72	0.72	1.19	0.86	0.66	0.77	0.74	0.24	0.72
1972	0.18	0.25	1.35	0.57	0.98	0.62	0.47	0.57	0.45	0.08	0.49
1973	0.22	0.23	1.41	0.57	0.98	0.67	0.48	0.57	0.54	0.13	0.29
1974	0.29	0.34	1.44	0.72	1.1	0.83	0.55	0.51	0.53	0.11	0.35
1975	0.26	0.37	1.06	0.6	1.06	0.76	0.59	0.57	0.44	0.11	0.39
1976	0.3	0.36	1.2	0.6	1.27	0.79	0.72	0.63	0.51	0.05	0.49
1977	0.35	0.43	1.07	0.81	1.11	0.85	0.77	0.68	0.52	0.14	0.44
1978	0.24	0.32	0.91	0.66	1.03	0.85	0.7	0.51	0.36	0.14	0.3
1979	0.3	0.47	0.87	0.78	1.19	0.85	0.65	0.51	0.38	0.16	0.35
1980	0.35	0.61	1.32	0.75	1.3	1.09	0.74	0.7	0.45	0.16	0.53
1981	0.4	1.11	1.26	0.83	1.38	1.04	0.87	0.68	0.57	0.16	0.55
1982	0.47	0.98	1.23	0.92	1.24	0.9	0.92	0.73	0.49	0.16	0.48
1983	0.47	1.02	1.62	1.04	1.53	0.99	1.03	0.7	0.64	0.2	0.48
1984	0.57	1.11	1.62	1.14	1.83	1.11	1.01	0.64	0.69	0.36	0.49
1985	0.53	0.91	1.52	1.1	1.61	1.06	0.91	0.53	0.69	0.21	0.49
1986	0.61	0.88	1.57	1.21	1.56	1.24	0.92	0.49	0.63	0.3	0.6
1987	0.44	0.85	1.04	1.15	1.28	0.89	0.71	0.43	0.43	0.25	0.38
1988	0.45	1.01	1.5	1.51	1.59	0.87	0.77	0.39	0.55	0.29	0.41
1989	0.4	0.86	1.49	1.36	1.35	1	0.66	0.41	0.38	0.31	0.44
1990	0.38	0.92	1.16	1.66	1.58	0.85	0.84	0.43	0.3	0.34	0.38
1991	0.34	1.05	0.95	1.7	1.59	0.79	0.82	0.43	0.36	0.37	0.36
1992	0.43	1.32	0.96	1.73	1.22	1.03	0.88	0.48	0.52	0.27	0.52
1993	0.41	1.39	1.17	1.49	1.39	0.81	1.06	0.47	0.4	0.25	0.58
1994	0.29	0.98	1.03	1.02	1.26	0.7	0.88	0.4	0.36	NA	0.4
1995	0.37	1.23	1.07	2.41	1.18	0.69	0.8	0.44	1	NA	0.45
