# Yamaguchi - Willapa Bay/Palix River snags - THPL - ITRDB WA132
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5383
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5383.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa132-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wa132-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa132.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa132.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-09-14
#--------------------
# File_Last_Modified_Date
#   Date: 2005-09-14
#--------------------
# Title
#   Study_Name: Yamaguchi - Willapa Bay/Palix River snags - THPL - ITRDB WA132
#--------------------
# Investigators
#   Investigators: Yamaguchi, D.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Willapa Bay/Palix River snags
#   Location: Washington
#   Northernmost_Latitude: 46.63
#   Southernmost_Latitude: 46.63
#   Easternmost_Longitude: -123.95
#   Westernmost_Longitude: -123.95
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: WA132
#   First_Year: 1325
#   Last_Year: 1682
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Thuja plicata Donn ex D. Don
#   Common_Name: western redcedar
#   Tree_Species_Code: THPL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PR7772_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7772; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7773_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7773; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7774_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7774; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7791_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7791; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7792_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7792; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7821_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7821; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7822_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7822; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7823_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7823; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR783_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR783; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PR7772_raw	PR7773_raw	PR7774_raw	PR7791_raw	PR7792_raw	PR7821_raw	PR7822_raw	PR7823_raw	PR783_raw
1573	0.59	1.01	0.67	0.85	0.64	1.44	1.2	1.35	0.97
1574	0.42	0.71	0.51	0.74	0.65	1.19	1.39	1.05	0.95
1575	0.45	0.67	0.51	0.76	0.69	1.37	1.18	1.55	1.12
1576	0.61	0.87	0.66	0.9	0.51	1.28	1.25	1.43	1.19
1577	0.59	0.96	0.62	0.72	0.52	1.22	1.14	1.17	1
1578	0.23	0.88	0.34	0.67	0.43	1.07	1.05	1.11	1.16
1579	0.36	0.68	0.43	0.75	0.56	1.17	1.21	1.13	1.08
1580	0.27	0.58	0.34	0.73	0.55	1.23	1.16	1.21	0.95
1581	0.41	0.61	0.36	0.72	0.6	1.21	1.2	1.24	0.94
1582	0.35	0.56	0.41	0.74	0.6	1.03	1.01	1.11	0.73
1583	0.41	0.55	0.35	0.76	0.61	0.92	1.35	1.24	0.84
1584	0.46	0.54	0.37	0.9	0.53	0.91	1.15	1.2	1.05
1585	0.34	0.66	0.36	0.67	0.44	0.78	0.89	0.92	0.85
1586	0.43	0.71	0.52	0.85	0.63	1.11	1.07	1.32	0.93
1587	0.53	0.85	0.69	0.85	0.64	1.09	1.28	1.56	1.29
1588	0.43	0.51	0.49	0.72	0.63	0.93	1.01	1.18	1.3
1589	0.35	0.71	0.59	0.75	0.61	0.89	0.79	0.98	1.42
1590	0.52	0.79	0.66	0.74	0.6	0.95	0.9	0.95	1.12
1591	0.58	0.99	0.63	0.66	0.66	0.99	0.9	0.94	0.98
1592	0.53	0.63	0.51	0.76	0.67	1.1	0.88	1.19	1.23
1593	0.48	0.6	0.59	0.78	0.64	1.22	0.87	1.08	1.19
1594	0.4	0.53	0.48	0.82	0.75	1.21	0.82	0.94	1.18
1595	0.46	0.51	0.43	0.74	0.7	1.19	0.85	0.92	1.22
1596	0.39	0.62	0.42	0.81	0.73	0.85	0.67	0.73	1.25
1597	0.48	0.59	0.45	0.78	0.74	1.13	0.7	1.16	1.3
1598	0.54	0.78	0.54	0.71	0.73	1.27	0.92	1.04	1.7
1599	0.74	0.77	0.45	0.95	0.82	1.57	1.19	1.53	1.7
1600	0.62	0.8	0.63	0.86	0.74	1.44	1.06	1.25	2.08
1601	0.73	0.87	0.75	1.05	0.92	1.43	1.19	1.27	1.82
1602	0.69	0.74	0.69	0.92	0.79	1.24	1.06	1.1	1.8
1603	0.53	0.68	0.62	0.8	0.74	1.2	0.97	1.1	1.37
1604	0.48	0.65	0.53	0.99	0.79	1.16	0.94	1.15	1.28
1605	0.35	0.53	0.46	0.77	0.61	0.85	0.98	0.89	0.76
1606	0.26	0.43	0.27	0.85	0.72	1.15	1.2	1.02	1.03
1607	0.33	0.44	0.37	1.1	0.76	1.34	1.29	1.08	1.62
1608	0.27	0.26	0.21	0.93	0.86	1.26	1.3	1.1	2.27
1609	0.47	0.47	0.33	0.83	1.03	1.21	1.33	0.95	1.99
1610	0.48	0.52	0.39	0.88	1.07	1.44	1.53	1.46	2.19
1611	0.51	0.6	0.48	0.96	1.01	1.68	1.76	1.72	1.99
1612	0.57	0.47	0.41	1.12	1.11	1.42	1.46	1.47	1.81
1613	0.36	0.27	0.2	1.09	1.05	1.44	1.13	1.36	1.47
1614	0.4	0.32	0.4	1.05	0.89	1.21	1.27	1.29	1.22
1615	0.33	0.15	0.23	1.01	0.77	0.95	0.93	1.04	0.94
1616	0.24	0.16	0.12	0.9	0.7	1.04	1.16	1.13	1.09
1617	0.36	0.21	0.57	1.11	0.67	1	1.23	1.14	1.46
1618	0.41	0.43	0.85	0.88	0.57	0.73	1.25	0.77	1.43
1619	0.58	0.74	0.95	1.05	0.68	0.94	1.64	0.93	1.53
1620	0.53	0.72	0.79	0.88	0.53	1.05	1.38	0.9	1.46
1621	0.59	0.51	0.7	1.24	0.64	1.15	1.41	1.38	1.56
1622	0.43	0.44	0.52	1.33	0.6	1.28	1.2	1.22	1.27
1623	0.44	0.38	0.47	1.18	0.71	1.04	1.49	1.1	1.34
1624	0.34	0.49	0.36	1.13	0.67	1.13	1.88	1.53	1.04
1625	0.36	0.58	0.32	1.34	0.71	1.35	1.69	1.76	1.14
1626	0.35	0.52	0.4	0.97	0.41	1.28	1.69	1.35	1.01
1627	0.41	0.59	0.49	0.78	0.52	1.12	1.32	1.1	0.96
1628	0.31	0.84	0.47	0.98	0.55	1.42	1.79	1.51	0.97
1629	0.27	0.81	0.64	0.95	0.75	1.84	1.84	1.39	0.99
1630	0.38	0.73	0.63	1.06	0.8	1.86	1.8	1.5	1.15
1631	0.33	0.47	0.58	0.94	0.5	1.14	1.06	0.56	0.79
1632	0.31	0.54	0.49	1	0.7	1.05	1.1	0.83	1.09
1633	0.33	0.35	0.55	0.86	0.8	1.06	1.13	0.9	1.02
1634	0.36	0.53	0.59	1.04	0.77	1.28	1.19	1.16	1.35
1635	0.4	0.55	0.67	1.09	0.97	1.21	1.28	1.02	1.26
1636	0.43	0.36	0.59	1.31	0.99	1.17	0.91	0.99	1.55
1637	0.34	0.51	0.42	1.07	0.89	1.01	0.93	0.8	1.39
1638	0.36	0.45	0.47	1.17	1	1.1	1.22	0.89	1.76
1639	0.42	0.34	0.45	1.19	0.98	1.03	1.14	0.85	1.49
1640	0.21	0.48	0.21	1.23	0.74	0.9	1.12	0.81	1.05
1641	0.41	0.4	0.4	1.25	0.98	1.06	1.39	0.97	1.06
1642	0.31	0.45	0.29	1.33	0.89	1.03	1.39	0.99	1.1
1643	0.33	0.39	0.31	0.96	0.82	0.97	1.35	0.95	0.98
1644	0.29	0.24	0.29	1.04	0.79	0.94	1.22	0.77	1.05
1645	0.38	0.44	0.32	1.16	0.85	1.17	1.33	0.86	1.25
1646	0.52	0.64	0.35	1.25	0.94	1.07	1.45	1.16	1.54
1647	0.51	0.71	0.51	1.23	1.06	0.88	1.27	1.2	1.65
1648	0.45	0.78	0.61	1.35	1.11	0.87	1.28	0.95	1.52
1649	0.55	0.9	0.65	1.05	0.8	0.66	0.93	0.76	1.22
1650	0.65	0.91	0.75	1.2	1.08	0.92	1.22	1.05	1.55
1651	0.56	0.8	0.84	1.31	1.1	0.82	1.24	0.77	1.98
1652	0.52	0.84	0.7	1.4	1.05	0.8	1.33	0.79	1.86
1653	0.74	0.85	0.8	1.45	1.35	0.84	1.46	0.78	2.58
1654	0.45	0.82	0.73	1.53	1.06	0.65	1.18	0.72	1.55
1655	0.49	0.51	0.62	1.73	1.15	0.58	1.04	0.62	1.15
1656	0.73	1.25	0.33	1.85	NA	0.6	1.01	0.79	0.99
1657	0.88	1.16	0.64	1.47	NA	0.63	1.29	0.98	0.97
1658	0.96	1.22	0.64	1.23	NA	0.44	1.2	0.95	1.08
1659	0.84	1.3	1.02	1.43	NA	0.53	1.51	1.1	1.24
1660	0.83	1.27	1.13	1.53	NA	0.59	1.49	1.22	1.64
1661	0.53	1.6	1.01	1.19	NA	0.6	1.42	0.98	1.46
1662	1.05	1.44	1.51	1.27	NA	0.79	1.67	1.18	1.72
1663	1.08	1.31	1.34	1.21	NA	0.93	1.48	0.88	1.69
1664	1.01	1.02	1.23	1.28	NA	0.97	1.49	0.97	1.71
1665	1.06	0.54	1.2	1.07	NA	1.04	1.37	0.89	1.67
1666	0.61	0.93	1.1	1.41	NA	0.96	1.2	0.98	1.56
1667	1.11	0.29	1.38	1.2	NA	1.06	1.2	0.86	1.61
1668	1.71	0.59	1.49	0.36	NA	1.12	1.43	0.93	1.61
1669	1.13	1.69	1.32	0.26	NA	1.04	1.32	0.97	1.33
1670	1.04	1.89	1.34	0.49	NA	1.16	1.61	1.1	1.87
1671	1.07	1.93	1.09	0.62	NA	1	1.43	0.88	1.48
1672	1.48	1.97	NA	0.4	NA	1.24	1.58	1.08	1.34
1673	NA	1.69	NA	0.58	NA	1.23	1.49	NA	1.27
1674	NA	1.55	NA	0.8	NA	1.3	1.31	NA	1.09
1675	NA	1.39	NA	0.67	NA	1.39	1.15	NA	1.37
1676	NA	1.38	NA	0.56	NA	1.18	0.9	NA	NA
1677	NA	1.15	NA	0.41	NA	1.37	NA	NA	NA
1678	NA	1.27	NA	NA	NA	1.41	NA	NA	NA
1679	NA	0.75	NA	NA	NA	1.32	NA	NA	NA
1680	NA	0.91	NA	NA	NA	0.86	NA	NA	NA
1681	NA	1.07	NA	NA	NA	1.27	NA	NA	NA
1682	NA	1.01	NA	NA	NA	NA	NA	NA	NA
