# Stahle - Richland Creek Project Historical Buildings - QUST - ITRDB TX047
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4933
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4933.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/tx047-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; tx047-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/tx047.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/tx047.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-21
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-21
#--------------------
# Title
#   Study_Name: Stahle - Richland Creek Project Historical Buildings - QUST - ITRDB TX047
#--------------------
# Investigators
#   Investigators: Stahle, D.W.; Jurney, D.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Richland Creek Project Historical Buildings
#   Location: Texas
#   Northernmost_Latitude: 31.97
#   Southernmost_Latitude: 31.97
#   Easternmost_Longitude: -96.07
#   Westernmost_Longitude: -96.07
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: TX047
#   First_Year: 1654
#   Last_Year: 1914
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus stellata Wangenh.
#   Common_Name: post oak
#   Tree_Species_Code: QUST
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SMU01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMU13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMU13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SMU01A_raw	SMU02A_raw	SMU03A_raw	SMU04A_raw	SMU05A_raw	SMU07A_raw	SMU09A_raw	SMU10A_raw	SMU11A_raw	SMU12A_raw	SMU13A_raw
1844	0.64	1.01	0.88	0.58	1.07	0.51	0.45	0.48	1.29	0.91	1.03
1845	0.73	1.01	0.8	0.66	0.9	0.51	0.44	0.45	1	0.8	1.17
1846	0.74	0.97	1.08	0.68	0.95	0.65	0.51	0.64	1.04	0.77	1.56
1847	0.65	1.14	0.76	0.56	0.69	0.54	0.36	0.49	0.66	0.61	1.39
1848	0.7	1.12	0.7	0.58	0.57	0.51	0.36	0.47	0.83	0.64	1.38
1849	0.63	1.2	0.92	0.8	1	0.63	0.47	0.68	0.87	0.71	1.5
1850	0.89	1.11	1.15	0.79	1.13	0.69	0.53	0.65	1.31	0.78	1.92
1851	0.76	0.94	1.09	0.69	1.29	0.7	0.4	0.72	1.05	0.71	1.61
1852	0.72	1.08	0.72	0.46	0.85	0.62	0.41	0.59	0.87	0.67	1.35
1853	0.77	0.89	0.77	0.45	1.12	0.61	0.42	0.62	0.84	0.64	1.37
1854	0.65	0.98	0.68	0.37	0.64	0.57	0.31	0.67	0.87	0.79	1.4
1855	0.55	0.63	0.73	0.32	0.68	0.56	0.33	0.55	0.46	0.55	1.32
1856	0.84	1.21	0.97	0.51	1.05	0.84	0.41	0.87	1.01	0.85	1.68
1857	0.67	0.63	0.55	0.42	0.72	0.51	0.34	0.55	0.45	0.53	1.03
1858	0.67	1.23	0.97	0.39	1.16	0.77	0.31	0.59	1.12	0.64	1.44
1859	0.78	0.89	0.7	0.38	0.88	0.59	0.48	0.59	0.75	0.74	1.43
1860	0.74	0.9	0.69	0.42	0.93	0.52	0.32	0.56	0.62	0.64	1.34
1861	0.63	0.69	0.77	0.36	0.63	0.67	0.46	0.55	0.6	0.56	1.19
1862	0.7	1	0.67	0.38	0.72	0.49	0.4	0.71	0.74	0.73	1.11
1863	0.79	1.16	0.86	0.39	0.97	0.69	0.35	0.55	0.44	0.42	1.29
1864	0.93	1.49	0.72	0.53	1.16	0.68	0.39	0.6	0.5	NA	1.62
1865	0.74	1.26	0.86	0.49	1.1	0.77	NA	0.75	0.6	NA	1.57
1866	1.41	1.23	1.01	0.39	0.9	0.65	NA	1.23	0.7	NA	1.97
1867	1.34	1.72	0.78	0.72	1.63	0.95	NA	1.09	0.96	NA	2.49
1868	1	1.39	0.81	0.48	1.14	0.63	NA	0.82	0.71	NA	1.35
1869	0.91	1.38	0.91	0.47	1.03	0.67	NA	0.96	0.53	NA	1.94
1870	NA	0.99	NA	NA	NA	0.73	NA	0.93	0.7	NA	2.48
1871	NA	NA	NA	NA	NA	0.91	NA	1.03	1.06	NA	2.2
1872	NA	NA	NA	NA	NA	0.71	NA	0.76	0.98	NA	2.08
1873	NA	NA	NA	NA	NA	0.76	NA	0.81	1.22	NA	2.03
1874	NA	NA	NA	NA	NA	0.67	NA	0.7	1.11	NA	1.58
1875	NA	NA	NA	NA	NA	0.64	NA	0.87	1.03	NA	1.78
1876	NA	NA	NA	NA	NA	0.66	NA	0.64	1.17	NA	1.88
1877	NA	NA	NA	NA	NA	0.69	NA	0.67	0.86	NA	1.83
1878	NA	NA	NA	NA	NA	0.62	NA	0.6	0.69	NA	1.84
1879	NA	NA	NA	NA	NA	0.51	NA	0.73	0.63	NA	1.11
1880	NA	NA	NA	NA	NA	0.7	NA	0.66	0.67	NA	1.46
1881	NA	NA	NA	NA	NA	0.59	NA	0.58	0.67	NA	1.26
1882	NA	NA	NA	NA	NA	0.53	NA	0.73	0.68	NA	1.46
1883	NA	NA	NA	NA	NA	0.59	NA	0.93	1.1	NA	1.34
1884	NA	NA	NA	NA	NA	0.72	NA	0.85	1.41	NA	1.56
1885	NA	NA	NA	NA	NA	0.68	NA	0.73	0.88	NA	1.38
1886	NA	NA	NA	NA	NA	0.69	NA	0.59	0.55	NA	1.17
1887	NA	NA	NA	NA	NA	0.53	NA	0.43	0.57	NA	1.15
1888	NA	NA	NA	NA	NA	0.75	NA	0.81	0.87	NA	2.06
1889	NA	NA	NA	NA	NA	0.48	NA	0.45	0.83	NA	0.99
1890	NA	NA	NA	NA	NA	1.15	NA	0.79	1.72	NA	1.39
1891	NA	NA	NA	NA	NA	0.73	NA	0.79	1.43	NA	1.25
1892	NA	NA	NA	NA	NA	0.99	NA	0.94	1.77	NA	1.6
1893	NA	NA	NA	NA	NA	0.77	NA	0.9	1.76	NA	1.6
1894	NA	NA	NA	NA	NA	0.78	NA	0.74	1.14	NA	1.23
1895	NA	NA	NA	NA	NA	0.64	NA	0.96	1.37	NA	1.68
1896	NA	NA	NA	NA	NA	0.71	NA	0.69	0.96	NA	1.22
1897	NA	NA	NA	NA	NA	0.81	NA	0.97	0.95	NA	1.45
1898	NA	NA	NA	NA	NA	0.48	NA	0.76	1.12	NA	1.13
1899	NA	NA	NA	NA	NA	0.63	NA	1.07	0.78	NA	0.9
1900	NA	NA	NA	NA	NA	0.87	NA	1.15	1.56	NA	1.43
1901	NA	NA	NA	NA	NA	0.56	NA	NA	NA	NA	1.09
1902	NA	NA	NA	NA	NA	0.4	NA	NA	NA	NA	0.99
1903	NA	NA	NA	NA	NA	0.78	NA	NA	NA	NA	1.3
1904	NA	NA	NA	NA	NA	0.66	NA	NA	NA	NA	1.09
1905	NA	NA	NA	NA	NA	0.81	NA	NA	NA	NA	1.1
1906	NA	NA	NA	NA	NA	0.97	NA	NA	NA	NA	1.3
1907	NA	NA	NA	NA	NA	0.56	NA	NA	NA	NA	1.08
1908	NA	NA	NA	NA	NA	0.84	NA	NA	NA	NA	1.63
1909	NA	NA	NA	NA	NA	0.62	NA	NA	NA	NA	1.09
1910	NA	NA	NA	NA	NA	0.57	NA	NA	NA	NA	1.36
1911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.01
1912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.23
1913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.25
1914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2
