# Briffa - Muddas South - PISY - ITRDB SWED306
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2840
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2840.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swed306-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swed306-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swed306.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/swed306.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-07-10
#--------------------
# File_Last_Modified_Date
#   Date: 2007-07-10
#--------------------
# Title
#   Study_Name: Briffa - Muddas South - PISY - ITRDB SWED306
#--------------------
# Investigators
#   Investigators: Briffa, K.R.(https://orcid.org/0000-0003-3323-3639)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Muddas South
#   Location: Sweden
#   Northernmost_Latitude: 66.78
#   Southernmost_Latitude: 66.78
#   Easternmost_Longitude: 20.13
#   Westernmost_Longitude: 20.13
#   Elevation_m: 270
#--------------------
# Data_Collection
#   Collection_Name: SWED306
#   First_Year: 1667
#   Last_Year: 1983
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SB01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SB05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SB05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SB01A_raw	SB01B_raw	SB02A_raw	SB02B_raw	SB03B_raw	SB03A_raw	SB04B_raw	SB04A_raw	SB10A_raw	SB09A_raw	SB08A_raw	SB05A_raw
1848	1.06	0.97	0.27	0.21	0.57	0.94	0.65	0.76	NA	0.36	1.03	NA
1849	1.18	1.2	0.09	0.15	0.42	0.48	0.59	0.74	NA	0.26	0.82	NA
1850	1.16	1.1	0.01	0.03	0.41	0.77	0.65	0.74	NA	0.34	0.93	NA
1851	1.1	1.07	0.16	0.15	0.4	0.54	0.49	0.53	NA	0.32	0.72	NA
1852	1.14	0.96	0.25	0.21	0.41	0.55	0.34	0.41	NA	0.49	0.82	NA
1853	1.12	0.96	0.19	0.16	0.44	0.44	0.42	0.66	NA	0.49	0.56	NA
1854	1.23	1.4	0.21	0.46	0.65	0.67	0.62	0.65	NA	0.67	0.9	NA
1855	1.15	1.2	0.3	0.35	0.53	0.52	0.68	0.78	NA	0.57	0.73	NA
1856	0.92	0.96	0.47	0.22	0.54	0.41	0.58	0.61	NA	0.45	0.69	NA
1857	0.82	0.76	0.28	0.23	0.39	0.42	0.37	0.42	NA	0.36	0.5	NA
1858	1.28	1.06	0.24	0.3	0.59	0.48	0.44	0.64	NA	0.51	0.78	NA
1859	1.11	1.07	0.28	0.4	0.39	0.45	0.6	0.6	NA	0.61	0.59	NA
1860	0.87	0.71	0.24	0.3	0.35	0.37	0.47	0.44	NA	0.41	0.8	NA
1861	1.04	1.07	0.18	0.44	0.57	0.5	0.57	0.64	NA	0.61	0.83	NA
1862	0.71	0.68	0.21	0.3	0.53	0.58	0.51	0.58	NA	0.58	0.71	NA
1863	0.79	0.74	0.16	0.29	0.46	0.5	0.42	0.39	NA	0.39	0.59	NA
1864	0.71	0.62	0.14	0.27	0.44	0.49	0.53	0.54	NA	0.35	0.62	NA
1865	0.68	0.68	0.06	0.16	0.43	0.29	0.44	0.69	NA	0.38	0.36	NA
1866	0.72	0.67	0.19	0.2	0.44	0.53	0.6	0.7	NA	0.6	0.62	NA
1867	0.64	0.55	0.18	0.27	0.44	0.45	0.55	0.57	NA	0.51	0.47	NA
1868	0.81	0.84	0.24	0.37	0.67	0.55	0.57	0.76	NA	0.54	0.62	NA
1869	0.63	0.54	0.18	0.32	0.43	0.55	0.41	0.49	NA	0.4	0.53	NA
1870	0.77	0.59	0.25	0.26	0.51	0.56	0.53	0.54	NA	0.44	0.6	NA
1871	0.79	0.66	0.23	0.31	0.43	0.38	0.59	0.5	NA	0.46	0.44	NA
1872	0.7	0.62	0.26	0.33	0.42	0.41	0.61	0.75	NA	0.52	0.6	NA
1873	0.89	0.72	0.25	0.37	0.56	0.55	0.79	0.84	NA	0.46	0.59	NA
1874	0.66	0.55	0.15	0.24	0.51	0.46	0.61	0.6	NA	0.51	0.54	NA
1875	0.7	0.71	0.21	0.21	0.55	0.57	0.59	0.78	NA	0.41	0.5	NA
1876	0.63	0.55	0.28	0.24	0.58	0.46	0.49	0.8	NA	0.31	0.46	NA
1877	0.71	0.54	0.28	0.25	0.39	0.38	0.42	0.72	NA	0.3	0.47	NA
1878	0.63	0.52	0.19	0.21	0.27	0.28	0.31	0.54	NA	0.34	0.4	NA
1879	0.61	0.51	0.18	0.21	0.28	0.3	0.36	0.42	NA	0.31	0.46	NA
1880	0.63	0.5	0.17	0.19	0.37	0.27	0.39	0.42	NA	0.32	0.59	NA
1881	0.6	0.33	0.21	0.22	0.31	0.26	0.23	0.22	NA	0.41	0.49	NA
1882	0.93	0.42	0.4	0.37	0.42	0.35	0.23	0.47	NA	0.48	0.54	NA
1883	0.85	0.49	0.44	0.25	0.41	0.37	0.47	0.53	NA	0.41	0.8	NA
1884	0.84	0.43	0.55	0.29	0.37	0.43	0.29	0.55	NA	0.55	0.66	NA
1885	0.74	0.42	0.82	0.31	0.48	0.48	0.34	0.55	NA	0.57	0.66	NA
1886	0.96	0.46	0.9	0.26	0.36	0.41	0.26	0.53	NA	0.47	0.51	NA
1887	0.89	0.5	0.77	0.25	0.43	0.49	0.27	0.49	NA	0.41	0.61	NA
1888	0.65	0.35	0.52	0.17	0.18	0.27	0.09	0.25	NA	0.29	0.37	NA
1889	0.58	0.35	0.45	0.28	0.28	0.3	0.15	0.39	NA	0.31	0.48	NA
1890	0.44	0.41	0.59	0.24	0.37	0.36	0.23	0.36	NA	0.53	0.44	NA
1891	0.54	0.27	0.64	0.21	0.27	0.17	0.16	0.29	NA	0.41	0.55	NA
1892	0.55	0.32	0.5	0.21	0.31	0.28	0.25	0.34	NA	0.33	0.46	NA
1893	0.58	0.32	0.38	0.27	0.35	0.23	0.21	0.34	NA	0.37	0.46	NA
1894	0.64	0.47	0.48	0.42	0.42	0.32	0.3	0.35	NA	0.28	0.52	NA
1895	0.46	0.3	0.53	0.52	0.43	0.26	0.37	0.6	NA	0.48	0.59	NA
1896	0.48	0.29	0.62	0.41	0.37	0.31	0.34	0.43	NA	0.33	0.54	NA
1897	0.61	0.29	0.61	0.33	0.4	0.25	0.33	0.42	NA	0.49	0.5	NA
1898	0.75	0.47	0.7	0.47	0.4	0.37	0.27	0.5	NA	0.66	0.72	NA
1899	0.62	0.31	0.46	0.28	0.33	0.28	0.43	0.61	NA	0.5	0.49	NA
1900	0.57	0.32	0.4	0.29	0.38	0.35	0.4	0.65	NA	0.64	0.46	NA
1901	0.82	0.41	0.88	0.51	0.37	0.41	0.52	0.57	NA	0.61	0.65	NA
1902	0.61	0.32	0.63	0.46	0.37	0.44	0.46	0.47	NA	0.59	0.59	NA
1903	0.54	0.32	0.35	0.27	0.32	0.35	0.27	0.33	NA	0.51	0.45	NA
1904	0.54	0.25	0.29	0.27	0.28	0.4	0.21	0.4	NA	0.44	0.38	1.25
1905	0.62	0.4	0.39	0.4	0.37	0.46	0.33	0.29	NA	0.49	0.6	1.3
1906	0.53	0.29	0.47	0.39	0.38	0.36	0.41	0.41	NA	0.65	0.89	1.21
1907	0.65	0.31	0.49	0.34	0.25	0.3	0.39	0.29	NA	0.56	0.63	1.95
1908	0.76	0.36	0.54	0.45	0.27	0.34	0.31	0.46	NA	0.55	0.65	1.31
1909	0.74	0.37	0.52	0.53	0.29	0.29	0.32	0.35	NA	0.59	0.54	1.13
1910	0.81	0.22	0.65	0.41	0.29	0.21	0.39	0.51	NA	0.62	0.6	2.14
1911	0.55	0.37	0.67	0.51	0.24	0.18	0.43	0.55	NA	0.53	0.52	1.8
1912	0.69	0.38	0.73	0.63	0.29	0.34	0.56	0.54	NA	0.44	0.7	1.04
1913	0.68	0.41	0.75	0.58	0.35	0.34	0.64	0.76	NA	0.56	0.71	1.12
1914	0.57	0.53	1.1	0.72	0.36	0.45	0.67	1.11	NA	0.58	0.93	1.8
1915	0.72	0.46	1.1	0.76	0.32	0.35	0.84	1.29	NA	0.57	1.17	3.06
1916	0.73	0.49	0.96	0.6	0.27	0.38	0.72	1.03	NA	0.52	1.13	2.89
1917	0.61	0.28	0.65	0.28	0.28	0.32	0.46	0.73	NA	0.52	0.73	2.24
1918	0.58	0.37	0.6	0.38	0.32	0.3	0.65	0.71	NA	0.44	0.69	1.45
1919	0.57	0.48	0.52	0.31	0.31	0.4	0.67	0.64	NA	0.55	0.54	1.97
1920	0.62	0.27	0.96	0.41	0.4	0.4	0.57	0.82	NA	0.69	0.72	2.88
1921	0.63	0.33	0.73	0.34	0.49	0.38	0.61	0.51	NA	0.64	0.68	2.52
1922	0.91	0.37	0.78	0.32	0.4	0.43	0.5	0.56	NA	0.76	0.62	2.14
1923	1.03	0.38	0.77	0.31	0.42	0.47	0.48	0.65	NA	0.68	0.8	2.11
1924	0.91	0.42	0.49	0.22	0.48	0.32	0.64	0.66	NA	0.53	0.65	1.65
1925	0.91	0.34	0.61	0.31	0.43	0.44	0.81	0.68	NA	0.62	0.7	1.5
1926	0.63	0.29	0.39	0.29	0.22	0.29	0.53	0.63	NA	0.58	0.59	1.74
1927	0.51	0.36	0.36	0.28	0.2	0.19	0.39	0.59	NA	0.33	0.49	1.27
1928	0.25	0.21	0.33	0.2	0.14	0.15	0.18	0.42	NA	0.27	0.43	0.48
1929	0.39	0.25	0.23	0.16	0.13	0.24	0.2	0.33	NA	0.33	0.42	0.35
1930	0.42	0.29	0.33	0.14	0.24	0.34	0.42	0.49	NA	0.28	0.52	0.53
1931	0.46	0.32	0.2	0.17	0.21	0.18	0.36	0.36	NA	0.18	0.4	0.3
1932	0.41	0.29	0.24	0.16	0.18	0.12	0.29	0.44	NA	0.31	0.37	0.36
1933	0.43	0.32	0.37	0.27	0.14	0.17	0.38	0.47	NA	0.23	0.36	0.26
1934	0.58	0.46	0.26	0.16	0.18	0.21	0.5	0.49	0.26	0.23	0.36	0.48
1935	0.35	0.29	0.32	0.11	0.15	0.17	0.48	0.38	0.27	0.28	0.39	0.37
1936	0.3	0.32	0.19	0.17	0.18	0.29	0.41	0.52	0.35	0.2	0.29	0.32
1937	0.36	0.41	0.26	0.19	0.33	0.31	0.52	0.71	0.56	0.3	0.44	0.49
1938	0.49	0.36	0.24	0.17	0.22	0.32	0.36	0.42	0.34	0.26	0.38	0.32
1939	0.4	0.3	0.17	0.2	0.2	0.28	0.53	0.77	0.45	0.23	0.26	0.44
1940	0.41	0.27	0.18	0.27	0.21	0.22	0.65	0.59	0.47	0.28	0.24	0.49
1941	0.78	0.4	0.36	0.37	0.24	0.4	0.88	1.01	0.58	0.35	0.34	0.76
1942	0.55	0.2	0.29	0.19	0.29	0.31	0.55	0.73	0.51	0.2	0.24	0.62
1943	0.64	0.23	0.27	0.21	0.22	0.3	0.49	0.92	0.41	0.36	0.33	0.61
1944	0.57	0.23	0.26	0.25	0.31	0.25	0.34	0.77	0.39	0.32	0.35	0.65
1945	0.58	0.31	0.23	0.21	0.33	0.39	0.44	0.74	0.37	0.32	0.23	0.63
1946	0.58	0.2	0.26	0.18	0.24	0.28	0.49	0.42	0.32	0.3	0.22	0.48
1947	0.69	0.35	0.31	0.16	0.28	0.4	0.61	0.85	0.52	0.44	0.28	0.46
1948	0.55	0.28	0.3	0.22	0.25	0.39	0.5	0.82	0.39	0.33	0.26	0.64
1949	0.7	0.39	0.37	0.26	0.28	0.38	0.41	0.77	0.4	0.32	0.26	0.68
1950	0.47	0.31	0.38	0.32	0.2	0.32	0.34	0.6	0.32	0.29	0.22	0.38
1951	0.46	0.27	0.27	0.27	0.22	0.27	0.38	0.51	0.12	0.31	0.13	0.52
1952	0.5	0.31	0.26	0.23	0.3	0.32	0.37	0.5	0.19	0.4	0.08	0.48
1953	0.66	0.45	0.38	0.34	0.3	0.42	0.5	0.86	0.37	0.44	0.21	0.63
1954	0.68	0.4	0.38	0.33	0.36	0.46	0.5	0.91	0.43	0.44	0.26	1.01
1955	0.5	0.35	0.2	0.23	0.37	0.27	0.46	0.79	0.34	0.3	0.17	0.6
1956	0.44	0.28	0.12	0.12	0.2	0.19	0.38	0.57	0.25	0.18	0.14	0.35
1957	0.66	0.3	0.09	0.17	0.32	0.3	0.46	0.37	0.3	0.22	0.23	0.57
1958	0.53	0.32	0.14	0.11	0.25	0.41	0.39	0.53	0.38	0.31	0.26	0.4
1959	0.57	0.28	0.11	0.18	0.3	0.29	0.42	0.65	0.45	0.26	0.23	0.65
1960	0.57	0.33	0.18	0.08	0.4	0.31	0.35	0.53	0.34	0.28	0.21	0.45
1961	0.49	0.27	0.11	0.11	0.12	0.22	0.39	0.37	0.15	0.35	0.11	0.39
1962	0.55	0.26	0.24	0.08	0.28	0.33	0.32	0.53	0.37	0.27	0.18	0.53
1963	0.4	0.17	0.11	0.1	0.27	0.22	0.32	0.44	0.35	0.24	0.12	0.47
1964	0.38	0.37	0.1	0.16	0.26	0.33	0.36	0.47	0.5	0.24	0.26	0.6
1965	0.27	0.26	0.06	0.16	0.2	0.29	0.22	0.43	0.41	0.26	0.21	0.65
1966	0.44	0.3	0.12	0.21	0.24	0.24	0.33	0.48	0.37	0.27	0.14	0.65
1967	0.58	0.35	0.18	0.14	0.29	0.39	0.44	0.66	0.49	0.31	0.24	0.97
1968	0.72	0.31	0.17	0.17	0.31	0.26	0.28	0.65	0.4	0.21	0.29	0.88
1969	0.67	0.36	0.12	0.22	0.33	0.29	0.23	0.54	0.41	0.36	0.2	0.54
1970	0.58	0.29	0.17	0.22	0.25	0.28	0.33	0.68	0.36	0.29	0.22	0.99
1971	0.65	0.35	0.17	0.25	0.38	0.33	0.29	0.81	0.38	0.35	0.26	0.85
1972	0.58	0.4	0.19	0.18	0.26	0.33	0.3	0.72	0.47	0.23	0.27	0.5
1973	0.79	0.46	0.24	0.21	0.43	0.34	0.42	0.83	0.52	0.44	0.43	0.78
1974	0.75	0.41	0.24	0.13	0.24	0.36	0.28	0.62	0.48	0.34	0.22	0.5
1975	0.84	0.36	0.13	0.09	0.3	0.43	0.26	0.68	0.37	0.27	0.3	0.53
1976	0.85	0.44	0.24	0.09	0.31	0.38	0.3	0.9	0.44	0.37	0.31	0.73
1977	0.57	0.26	0.19	0.11	0.24	0.33	0.21	0.61	0.37	0.18	0.21	0.56
1978	0.54	0.39	0.12	0.15	0.23	0.34	0.27	0.67	0.28	0.32	0.18	0.46
1979	0.89	0.43	0.14	0.16	0.36	0.39	0.34	0.74	0.42	0.29	0.27	0.45
1980	0.71	0.42	0.07	0.16	0.25	0.27	0.29	0.76	0.54	0.36	0.15	0.49
1981	0.7	0.35	0.16	0.06	0.21	0.29	0.22	0.71	0.32	0.26	0.17	0.4
1982	0.71	0.41	0.05	0.11	0.33	0.3	0.24	0.64	0.39	0.24	0.22	0.39
1983	0.49	0.37	0.1	NA	0.37	0.26	0.23	0.68	0.44	0.21	0.11	0.53
