# Buyantuyev - Shuthulay River - LASI - ITRDB RUSS240
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16795
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16795.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ240-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ240-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ240.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ240.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2014-04-23
#--------------------
# File_Last_Modified_Date
#   Date: 2014-04-23
#--------------------
# Title
#   Study_Name: Buyantuyev - Shuthulay River - LASI - ITRDB RUSS240
#--------------------
# Investigators
#   Investigators: Buyantuyev, V.; Oskolkov, V.A.; Moritz, R.S.; Voronin, V.I.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Shuthulay River
#   Location: Russia
#   Northernmost_Latitude: 52.482311
#   Southernmost_Latitude: 52.482311
#   Easternmost_Longitude: 98.968749
#   Westernmost_Longitude: 98.968749
#   Elevation_m: 2170
#--------------------
# Data_Collection
#   Collection_Name: RUSS240
#   First_Year: 1603
#   Last_Year: 2013
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.
#   Common_Name: Siberian larch
#   Tree_Species_Code: LASI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## shut1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut24_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut24; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut25_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut25; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut26-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut26-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut26_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut26; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut27_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut27; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut28_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut28; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## shut29_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: shut29; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	shut1_raw	shut24_raw	shut25_raw	shut26-2_raw	shut26_raw	shut27_raw	shut28_raw	shut29_raw
1881	0.95	0.72	0.55	0.27	0.41	0.31	0.6	0.15
1882	0.81	0.53	0.42	0.16	0.33	0.35	0.51	0.15
1883	0.86	0.5	0.36	0.16	0.37	0.07	0.44	0.02
1884	0.43	0.25	0.21	0.13	0.14	0.28	0.16	0.07
1885	0.8	0.52	0.31	0.18	0.24	0.16	0.34	0.02
1886	0.7	0.31	0.22	0.16	0.23	0.05	0.26	0.13
1887	0.63	0.36	0.36	0.11	0.26	0.17	0.33	0.11
1888	0.63	0.32	0.29	0.14	0.24	0.03	0.34	0.07
1889	0.47	0.21	0.17	0.13	0.25	0.23	0.34	0.09
1890	0.5	0.29	0.33	0.3	0.37	0.21	0.42	0.09
1891	0.71	0.26	0.47	0.33	0.37	0.37	0.54	0.14
1892	0.74	0.41	0.38	0.26	0.38	0.66	0.47	0.19
1893	0.51	0.38	0.33	0.24	0.34	0.55	0.32	0.16
1894	0.54	0.43	0.44	0.23	0.34	0.64	0.34	0.19
1895	0.53	0.37	0.39	0.3	0.33	0.38	0.26	0.16
1896	0.82	0.57	0.56	0.45	0.46	1.11	0.48	0.3
1897	0.88	0.53	0.61	0.61	0.49	0.98	0.46	0.3
1898	0.73	0.33	0.44	0.57	0.47	0.84	0.44	0.25
1899	0.5	0.28	0.16	0.27	0.24	0.39	0.24	0.17
1900	1.02	0.45	0.52	0.41	0.5	0.79	0.55	0.44
1901	0.9	0.36	0.51	0.47	0.53	0.8	0.48	0.24
1902	0.47	0.27	0.27	0.4	0.44	0.5	0.38	0.14
1903	0.87	0.31	0.56	0.42	0.45	0.54	0.49	0.2
1904	0.85	0.26	0.41	0.36	0.45	0.45	0.41	0.15
1905	0.91	0.4	0.39	0.26	0.4	0.68	0.43	0.16
1906	0.62	0.32	0.36	0.29	0.39	0.39	0.29	0.13
1907	0.71	0.32	0.4	0.26	0.4	0.16	0.28	0.17
1908	1.23	0.35	0.41	0.28	0.46	0.38	0.53	0.23
1909	0.91	0.44	0.48	0.34	0.55	0.43	0.49	0.31
1910	0.53	0.33	0.33	0.32	0.48	0.34	0.21	0.22
1911	0.37	0.24	0.17	0.21	0.27	0.08	0.17	0.09
1912	0.29	0.16	0.21	0.22	0.28	0.04	0.17	0.02
1913	0.2	0.11	0.18	0.03	0.14	0.02	0.18	0.03
1914	0.2	0.01	0.18	0.07	0.17	0.02	0.14	0.15
1915	0.25	0.1	0.54	0.17	0.31	0.04	0.14	0.09
1916	0.17	0.02	0.27	0.21	0.23	0.07	0.1	0.17
1917	0.33	0.05	0.48	0.25	0.4	0.08	0.18	0.15
1918	0.29	0.04	0.4	0.2	0.34	0.08	0.18	0.17
1919	0.37	0.12	0.46	0.25	0.36	0.17	0.24	0.14
1920	0.45	0.14	0.47	0.26	0.44	0.17	0.21	0.19
1921	0.6	0.18	0.62	0.41	0.52	0.38	0.33	0.27
1922	0.35	0.1	0.33	0.2	0.33	0.34	0.21	0.23
1923	0.16	0.08	0.13	0.11	0.19	0.15	0.12	0.08
1924	0.3	0.21	0.21	0.22	0.37	0.36	0.29	0.11
1925	0.33	0.14	0.09	0.18	0.25	0.09	0.18	0.08
1926	0.4	0.18	0.32	0.22	0.34	0.25	0.34	0.13
1927	0.36	0.23	0.4	0.24	0.37	0.27	0.19	0.16
1928	0.5	0.31	0.39	0.27	0.32	0.31	0.28	0.22
1929	0.47	0.24	0.31	0.27	0.32	0.22	0.23	0.27
1930	0.64	0.45	0.62	0.35	0.47	0.4	0.32	0.58
1931	0.66	0.21	0.51	0.38	0.45	0.31	0.22	0.56
1932	0.42	0.23	0.37	0.32	0.35	0.34	0.11	0.29
1933	0.56	0.28	0.61	0.35	0.36	0.41	0.19	0.3
1934	0.55	0.23	0.49	0.29	0.37	0.32	0.22	0.23
1935	0.92	0.32	0.53	0.4	0.4	0.37	0.21	0.27
1936	0.51	0.2	0.31	0.28	0.27	0.37	0.16	0.15
1937	0.41	0.28	0.34	0.25	0.26	0.28	0.15	0.12
1938	0.43	0.29	0.22	0.22	0.27	0.18	0.15	0.13
1939	0.62	0.41	0.37	0.29	0.35	0.37	0.21	0.2
1940	0.66	0.47	0.42	0.35	0.49	0.42	0.21	0.24
1941	0.84	0.58	0.34	0.34	0.4	0.37	0.25	0.05
1942	0.7	0.5	0.3	0.31	0.35	0.16	0.26	0.05
1943	0.89	0.72	0.44	0.39	0.42	0.33	0.36	0.26
1944	0.74	0.7	0.58	0.55	0.45	0.4	0.35	0.35
1945	1.04	0.59	0.45	0.46	0.38	0.17	0.39	0.45
1946	0.54	0.9	0.66	0.58	0.48	0.72	0.53	0.56
1947	NA	0.33	0.26	0.4	0.35	0.13	0.25	0.33
1948	NA	0.25	0.19	0.35	0.31	0.4	0.21	0.72
1949	NA	0.41	0.2	0.35	0.37	0.2	0.2	0.17
1950	NA	0.48	0.45	0.4	0.4	0.51	0.34	0.21
1951	NA	0.73	0.57	0.39	0.36	0.9	0.37	0.2
1952	NA	0.66	0.56	0.41	0.36	0.44	0.35	0.22
1953	NA	0.88	0.79	0.51	0.44	0.62	0.43	0.27
1954	NA	0.35	0.6	0.42	0.39	0.34	0.32	0.27
1955	NA	0.39	0.32	0.39	0.35	0.11	0.17	0.18
1956	NA	0.46	0.43	0.42	0.34	0.17	0.21	0.28
1957	NA	0.59	0.6	0.49	0.4	0.28	0.25	0.26
1958	NA	0.51	0.31	0.35	0.22	0.14	0.22	0.11
1959	NA	0.56	0.58	0.42	0.31	0.26	0.47	0.42
1960	NA	0.42	0.31	0.01	0.16	0.08	0.13	0.23
1961	NA	0.26	0.07	0.1	0.13	0.02	0.11	0.17
1962	NA	0.49	0.41	0.21	0.24	0.14	0.25	0.24
1963	NA	0.65	0.32	0.19	0.22	0.04	0.27	0.48
1964	NA	0.57	0.69	0.26	0.28	0.13	0.36	0.61
1965	NA	0.54	0.59	0.34	0.29	0.13	0.35	0.45
1966	NA	0.57	0.43	0.29	0.3	0.05	0.33	0.33
1967	NA	0.53	0.33	0.24	0.28	0.17	0.35	0.28
1968	NA	0.8	0.66	0.35	0.4	0.28	0.55	0.5
1969	NA	0.56	0.52	0.37	0.34	0.4	0.3	0.3
1970	NA	0.47	0.42	0.45	0.35	0.32	0.23	0.22
1971	NA	0.48	0.35	0.35	0.27	0.07	0.24	0.2
1972	NA	0.53	0.46	0.3	0.29	0.22	0.33	0.21
1973	NA	0.7	0.53	0.35	0.35	0.17	0.36	0.27
1974	NA	0.81	0.54	0.32	0.29	0.12	0.38	0.37
1975	NA	0.8	0.56	0.45	0.35	0.09	0.28	0.29
1976	NA	0.89	0.68	0.46	0.41	0.33	0.37	0.32
1977	NA	0.8	0.61	0.42	0.36	0.19	0.36	0.32
1978	NA	0.9	0.57	0.44	0.39	0.19	0.39	0.46
1979	NA	0.49	0.35	0.33	0.34	0.12	0.29	0.35
1980	NA	0.71	0.37	0.57	0.35	0.32	0.3	0.41
1981	NA	0.45	0.17	0.28	0.28	0.1	0.13	0.2
1982	NA	0.45	0.24	0.14	0.2	0.11	0.28	0.27
1983	NA	0.35	0.18	0.14	0.23	0.06	0.22	0.3
1984	NA	0.55	0.53	0.28	0.3	0.25	0.53	0.51
1985	NA	0.56	0.45	0.14	0.27	0.08	0.35	0.29
1986	NA	0.43	0.54	0.19	0.28	0.21	0.47	0.28
1987	NA	0.23	0.24	0.04	0.1	0.02	0.2	0.12
1988	NA	0.13	0.08	0.04	0.09	0.02	0.05	0.03
1989	NA	0.54	0.29	0.14	0.24	0.21	0.3	0.25
1990	NA	0.55	0.54	0.16	0.24	0.11	0.36	0.2
1991	NA	0.68	0.73	0.24	0.2	0.19	0.32	0.27
1992	NA	0.61	0.63	0.23	0.25	0.25	0.43	0.26
1993	NA	0.44	0.44	0.27	0.26	0.16	0.3	0.25
1994	NA	0.66	0.63	0.28	0.32	0.38	0.55	0.55
1995	NA	0.61	0.69	0.28	0.3	0.26	0.54	0.48
1996	NA	0.5	0.36	0.28	0.29	0.28	0.33	0.2
1997	NA	0.28	0.21	0.12	0.22	0.09	0.27	0.13
1998	NA	0.57	0.45	0.25	0.34	0.36	0.43	0.23
1999	NA	0.66	0.48	0.31	0.34	0.36	0.54	0.23
2000	NA	0.92	0.76	0.4	0.52	0.61	0.66	0.38
2001	NA	0.58	0.5	0.41	0.47	0.61	0.42	0.25
2002	NA	0.63	0.65	0.56	0.47	0.62	0.43	0.26
2003	NA	0.89	0.78	0.62	0.56	0.84	0.56	0.44
2004	NA	1.12	0.83	0.77	0.7	0.69	0.62	0.56
2005	NA	0.71	0.65	0.54	0.53	0.47	0.44	0.33
2006	NA	0.75	0.58	0.51	0.52	0.47	0.49	0.28
2007	NA	0.48	0.32	0.28	0.33	0.11	0.17	0.16
2008	NA	0.78	0.62	0.48	0.54	0.51	0.62	0.39
2009	NA	0.55	0.35	0.29	0.38	0.24	0.3	0.18
2010	NA	1.11	0.78	0.48	0.75	0.63	0.67	0.43
2011	NA	1.01	0.76	0.35	0.67	0.52	0.49	0.35
2012	NA	0.82	0.7	0.44	0.53	0.53	0.41	0.03
2013	NA	0.7	0.5	0.32	0.33	0.27	0.45	0.17
