# Hughes - Indigirka - LAGM - ITRDB RUSS184
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3568
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3568.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ184-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; russ184-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/russ184.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/russ184.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-07-09
#--------------------
# File_Last_Modified_Date
#   Date: 2007-07-09
#--------------------
# Title
#   Study_Name: Hughes - Indigirka - LAGM - ITRDB RUSS184
#--------------------
# Investigators
#   Investigators: Hughes, M.K.(https://orcid.org/0000-0003-1062-3167); Vaganov, E.A.; Shiyatov, S.G.; Touchan, R.; Funkhouser, G.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Indigirka
#   Location: Sakha
#   Northernmost_Latitude: 70.53
#   Southernmost_Latitude: 70.53
#   Easternmost_Longitude: 148.15
#   Westernmost_Longitude: 148.15
#   Elevation_m: 80
#--------------------
# Data_Collection
#   Collection_Name: RUSS184
#   First_Year: 1554
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr
#   Common_Name: Dahurian larch
#   Tree_Species_Code: LAGM
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## IND03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND41A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND41A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND47_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND47; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND54_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND54; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND57A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND57A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND57B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND57B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## IND59_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: IND59; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	IND03A_raw	IND03B_raw	IND41A_raw	IND47_raw	IND54_raw	IND57A_raw	IND57B_raw	IND59_raw
1850	0.37	0.19	0.24	NA	0.33	0.25	0.27	0.22
1851	0.22	0.19	0.17	NA	0.29	0.35	0.32	0.2
1852	0.3	0.18	0.32	NA	0.47	0.5	0.48	0.23
1853	0.29	0.19	0.2	NA	0.41	0.39	0.37	0.31
1854	0.33	0.21	0.32	NA	0.36	0.36	0.56	0.35
1855	0.53	0.37	0.44	NA	0.51	0.53	0.55	0.39
1856	0.42	0.24	0.28	NA	0.39	0.49	0.76	0.35
1857	0.23	0.1	0.07	NA	0.1	0.13	0.15	0.13
1858	1.05	0.55	0.45	NA	0.59	0.47	0.83	0.56
1859	0.54	0.29	0.25	NA	0.38	0.34	0.48	0.25
1860	0.79	0.38	0.34	NA	0.42	0.31	0.58	0.34
1861	0.77	0.47	0.47	NA	0.44	0.34	0.78	0.34
1862	0.28	0.21	0.14	NA	0.11	0.11	0.29	0.12
1863	0.22	0.13	0.25	NA	0.2	0.19	0.36	0.12
1864	0.21	0.22	0.16	NA	0.16	0.24	0.42	0.13
1865	0.33	0.26	0.25	NA	0.21	0.56	0.91	0.35
1866	0.45	0.33	0.3	NA	0.18	0.61	0.98	0.36
1867	0.55	0.4	0.25	NA	0.19	0.83	1.2	0.49
1868	0.55	0.39	0.32	NA	0.19	0.74	1.07	0.54
1869	0.52	0.44	0.32	NA	0.31	0.54	0.79	0.54
1870	0.53	0.54	0.27	0.14	0.43	0.54	0.9	0.47
1871	0.36	0.25	0.23	0.12	0.3	0.45	0.5	0.37
1872	0.41	0.26	0.3	0.15	0.33	0.41	0.56	0.33
1873	0.44	0.26	0.23	0.14	0.39	0.41	0.48	0.4
1874	0.38	0.2	0.24	0.12	0.26	0.35	0.52	0.3
1875	0.27	0.17	0.14	0.13	0.19	0.25	0.39	0.25
1876	0.39	0.28	0.31	0.25	0.37	0.45	0.68	0.44
1877	0.33	0.24	0.26	0.32	0.26	0.38	0.61	0.42
1878	0.41	0.34	0.36	0.4	0.38	0.4	0.65	0.4
1879	0.23	0.22	0.21	0.18	0.29	0.19	0.63	0.24
1880	0.34	0.35	0.36	0.39	0.61	0.38	0.92	0.47
1881	0.46	0.43	0.39	0.31	0.51	0.4	0.94	0.54
1882	0.32	0.29	0.42	0.24	0.33	0.4	0.61	0.82
1883	0.35	0.29	0.3	0.21	0.33	0.36	0.54	0.75
1884	0.33	0.3	0.36	0.34	0.35	0.38	0.6	0.72
1885	0.4	0.4	0.35	0.35	0.48	0.4	0.77	0.69
1886	0.29	0.14	0.21	0.16	0.25	0.26	0.43	0.26
1887	0.19	0.16	0.08	0.09	0.19	0.2	0.37	0.22
1888	0.35	0.25	0.33	0.26	0.5	0.47	0.72	0.59
1889	0.42	0.3	0.19	0.27	0.21	0.29	0.43	0.41
1890	0.48	0.3	0.24	0.34	0.36	0.36	0.41	0.52
1891	0.54	0.34	0.26	0.55	0.46	0.39	0.6	0.49
1892	0.25	0.14	0.09	0.16	0.17	0.15	0.13	0.19
1893	0.32	0.25	0.14	0.17	0.25	0.17	0.25	0.22
1894	0.5	0.27	0.25	0.34	0.39	0.25	0.32	0.29
1895	0.53	0.43	0.26	0.44	0.5	0.36	0.35	0.33
1896	0.32	0.25	0.22	0.43	0.53	0.3	0.37	0.28
1897	0.61	0.47	0.36	0.63	0.64	0.41	0.47	0.38
1898	0.53	0.3	0.28	0.56	0.5	0.35	0.32	0.39
1899	0.32	0.18	0.24	0.79	0.56	0.33	0.35	0.36
1900	0.32	0.24	0.18	0.97	0.46	0.35	0.49	0.3
1901	0.52	0.34	0.32	1.06	0.72	0.4	0.49	0.41
1902	0.64	0.54	0.43	1.17	0.78	0.53	0.65	0.58
1903	0.55	0.41	0.42	0.77	0.5	0.42	0.41	0.41
1904	0.31	0.28	0.27	0.52	0.39	0.26	0.26	0.25
1905	0.23	0.16	0.18	0.22	0.26	0.16	0.17	0.21
1906	0.4	0.28	0.24	0.44	0.31	0.22	0.16	0.22
1907	0.34	0.36	0.32	0.55	0.38	0.3	0.28	0.38
1908	0.33	0.37	0.22	0.5	0.3	0.29	0.33	0.34
1909	0.3	0.35	0.22	0.44	0.36	0.22	0.16	0.43
1910	0.23	0.3	0.18	0.3	0.28	0.09	0.09	0.29
1911	0.48	0.63	0.35	0.63	0.55	0.23	0.18	0.47
1912	0.53	0.67	0.4	0.56	0.55	0.22	0.17	0.53
1913	0.4	0.48	0.43	0.49	0.36	0.19	0.17	0.44
1914	0.51	0.51	0.53	0.75	0.56	0.3	0.21	0.47
1915	0.19	0.19	0.11	0.2	0.19	0.11	0.06	0.11
1916	0.22	0.26	0.16	0.14	0.21	0.11	0.07	0.13
1917	0.39	0.4	0.29	0.54	0.48	0.29	0.22	0.48
1918	0.19	0.36	0.32	0.3	0.29	0.24	0.14	0.25
1919	0.23	0.38	0.21	0.28	0.26	0.18	0.19	0.22
1920	0.21	0.35	0.41	0.38	0.32	0.29	0.25	0.32
1921	0.22	0.31	0.15	0.28	0.22	0.16	0.15	0.41
1922	0.33	0.3	0.23	0.33	0.31	0.26	0.33	0.62
1923	0.22	0.21	0.14	0.35	0.25	0.21	0.23	0.45
1924	0.21	0.25	0.15	0.3	0.21	0.2	0.22	0.3
1925	0.31	0.3	0.3	0.45	0.44	0.27	0.3	0.44
1926	0.16	0.23	0.15	0.37	0.26	0.15	0.17	0.28
1927	0.16	0.25	0.16	0.26	0.25	0.14	0.23	0.23
1928	0.19	0.31	0.19	0.62	0.3	0.18	0.26	0.27
1929	0.15	0.22	0.18	0.48	0.25	0.16	0.21	0.22
1930	0.27	0.4	0.37	0.67	0.35	0.21	0.33	0.33
1931	0.16	0.27	0.29	0.65	0.28	0.19	0.32	0.34
1932	0.15	0.42	0.21	0.58	0.33	0.18	0.19	0.21
1933	0.36	0.52	0.25	0.71	0.44	0.24	0.31	0.42
1934	0.18	0.21	0.17	0.39	0.25	0.17	0.19	0.23
1935	0.22	0.3	0.24	0.62	0.43	0.27	0.25	0.45
1936	0.33	0.31	0.25	0.86	0.46	0.3	0.28	0.44
1937	0.19	0.07	0.26	0.38	0.2	0.18	0.11	0.24
1938	0.24	0.14	0.31	0.53	0.33	0.19	0.24	0.34
1939	0.24	0.19	0.34	0.49	0.31	0.26	0.23	0.32
1940	0.27	0.2	0.54	0.8	0.37	0.25	0.32	0.35
1941	0.13	0.08	0.21	0.81	0.2	0.19	0.17	0.17
1942	0.2	0.15	0.22	0.79	0.23	0.18	0.2	0.22
1943	0.23	0.12	0.24	0.58	0.27	0.18	0.14	0.21
1944	0.25	0.12	0.3	0.92	0.51	0.29	0.2	0.23
1945	0.1	0.08	0.15	0.86	0.33	0.27	0.18	0.15
1946	0.12	NA	0.18	0.38	0.24	0.18	0.09	0.22
1947	0.23	NA	0.33	0.64	0.39	0.33	0.19	0.37
1948	0.18	NA	0.28	0.44	0.27	0.3	0.21	0.28
1949	0.07	NA	0.26	0.43	0.29	0.23	0.1	0.18
1950	0.1	NA	0.27	0.29	0.24	0.18	0.12	0.18
1951	0.2	NA	0.4	0.39	0.33	0.34	0.22	0.3
1952	0.18	NA	0.27	0.38	0.29	0.31	0.15	0.23
1953	0.17	NA	0.23	0.45	0.25	0.28	0.16	0.2
1954	0.13	NA	0.29	0.44	0.23	0.19	0.15	0.16
1955	0.2	NA	0.26	0.4	0.21	0.18	0.16	0.23
1956	0.28	NA	0.64	0.81	0.44	0.41	0.31	0.48
1957	0.12	NA	0.32	0.43	0.2	0.17	0.11	0.25
1958	0.16	NA	0.43	0.64	0.25	0.25	0.24	0.31
1959	0.12	NA	0.28	0.51	0.19	0.16	0.14	0.16
1960	0.22	NA	0.7	0.94	0.29	0.24	0.2	0.32
1961	0.2	NA	0.4	0.53	0.29	0.22	0.26	0.24
1962	0.03	NA	0.23	0.31	0.12	0.12	0.09	0.08
1963	0.1	NA	0.27	0.65	0.24	0.13	0.14	0.09
1964	0.13	NA	0.29	0.62	0.29	0.19	0.18	0.3
1965	0.12	NA	0.59	0.88	0.26	0.25	0.21	0.33
1966	0.17	NA	0.47	0.54	0.29	0.28	0.21	0.21
1967	0.14	NA	0.21	0.32	0.1	0.19	0.12	0.21
1968	0.14	NA	0.37	0.41	0.2	0.2	0.14	0.12
1969	0.16	NA	0.42	0.68	0.36	0.3	0.25	0.27
1970	0.16	NA	0.38	0.6	0.24	0.25	0.18	0.27
1971	0.19	NA	0.5	0.74	0.25	0.31	0.27	0.18
1972	0.04	NA	0.2	0.41	0.17	0.19	0.13	0.08
1973	0.18	NA	0.41	0.68	0.19	0.3	0.32	0.24
1974	0.23	NA	0.61	0.93	0.29	0.48	0.45	0.25
1975	0.13	NA	0.33	0.53	0.17	0.21	0.22	0.14
1976	0.18	NA	0.44	0.62	0.21	0.31	0.32	0.16
1977	0.17	NA	0.5	0.7	0.16	0.29	0.22	0.14
1978	0	NA	0.17	0.21	0.08	0.12	0.07	0.05
1979	0.05	NA	0.11	0.13	0	0.08	0.1	0.02
1980	0.17	NA	0.31	0.31	0.14	0.14	0.14	0.13
1981	0.09	NA	0.19	0.32	0.11	0.17	NA	0.13
1982	0.07	NA	0.25	0.27	0.16	0.16	NA	0.1
1983	0.14	NA	0.27	0.31	0.11	0.21	NA	0.12
1984	0.04	NA	0.08	0.16	0.09	0.13	NA	0.02
1985	0.12	NA	0.18	0.27	0.06	0.17	NA	0.19
1986	0.1	NA	0.26	0.34	0.15	0.27	NA	0.17
1987	0.07	NA	0.4	0.33	0.1	0.21	NA	0.11
1988	0.09	NA	0.3	0.34	0.16	0.27	NA	0.1
1989	0.1	NA	0.25	0.3	0.14	0.18	NA	0.06
1990	0.07	NA	0.22	0.28	0.07	0.16	NA	NA
1991	0.06	NA	0.35	NA	0.1	0.19	NA	NA
1992	0.02	NA	0.17	NA	0.11	0.15	NA	NA
1993	0.1	NA	0.23	NA	0.11	0.21	NA	NA
1994	0.09	NA	0.15	NA	0.07	0.12	NA	NA
