# Hughes - Khillanmarg - ABPI - ITRDB INDI003
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3569
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3569.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/indi003e-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; indi003e-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/indi003e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/indi003e.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Hughes - Khillanmarg - ABPI - ITRDB INDI003
#--------------------
# Investigators
#   Investigators: Hughes, M.K.(https://orcid.org/0000-0003-1062-3167)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-04-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Khillanmarg
#   Location: Jammu and Kashmir
#   Northernmost_Latitude: 35.08
#   Southernmost_Latitude: 35.08
#   Easternmost_Longitude: 74.33
#   Westernmost_Longitude: 74.33
#   Elevation_m: 3125
#--------------------
# Data_Collection
#   Collection_Name: INDI003
#   First_Year: 1608
#   Last_Year: 1980
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  earlywood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies pindrow (Royle ex D. Don) Royle
#   Common_Name: Himalayan silver fir
#   Tree_Species_Code: ABPI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## K3080_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3080; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3079_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3079; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3077_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3077; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3074_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3074; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3072_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3072; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3071_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3070_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3070; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3073_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3073; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3075_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3075; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3076_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3076; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## K3081_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: K3081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	K3080_raw	K3079_raw	K3077_raw	K3074_raw	K3072_raw	K3071_raw	K3070_raw	K3073_raw	K3075_raw	K3076_raw	K3081_raw
1874	1.17	0.9	1.89	1.83	1.44	1.02	0.93	NA	1.89	1.44	1.32
1875	1.17	0.75	1.86	1.71	1.17	0.75	0.57	NA	1.65	1.2	1.32
1876	1.05	0.99	2.55	2.13	1.65	1.02	0.57	1.92	1.59	1.56	1.08
1877	0.93	0.87	1.92	1.68	1.44	0.9	0.69	1.38	1.26	1.35	0.96
1878	1.23	0.9	2.19	1.47	1.83	1.11	0	1.14	1.2	1.11	1.2
1879	1.41	0.84	1.68	1.5	1.44	0.81	0	1.68	1.17	1.71	0.93
1880	1.05	0.96	2.1	1.23	1.65	0.9	0	0.96	1.38	2.67	0.87
1881	1.14	0.9	2.16	1.41	1.14	0.84	0	0.87	1.26	2.07	0.84
1882	0.87	0.96	2.58	1.35	1.41	1.05	0	1.17	1.29	2.16	0.9
1883	0.96	0.93	2.25	1.38	1.53	0.72	0	0.96	1.02	2.04	0.87
1884	0.96	0.81	2.22	1.74	1.56	0.93	0	0.99	1.26	1.86	0.93
1885	0.66	0.69	1.41	1.05	1.17	1.02	0	0.72	1.23	1.59	0.81
1886	0.84	0.69	1.56	1.32	1.32	0.69	0	0.66	1.08	1.68	0.93
1887	0.78	0.54	1.47	0.99	1.11	0.72	0	0.72	0.93	1.44	0.78
1888	0.9	0.66	1.68	1.17	1.11	0.84	0	1.11	1.26	1.77	0.81
1889	0.75	0.6	1.83	1.14	1.23	1.08	0	0.63	1.14	1.68	0.69
1890	0.72	0.63	2.25	0.87	1.2	0.93	0	0.78	1.05	1.68	0.6
1891	0.72	0.66	1.92	1.14	1.02	0.99	0	0.84	0.9	1.65	1.08
1892	0.6	0.51	1.5	1.02	0.93	0.84	0	0.69	0.81	1.38	0.84
1893	0.66	0.69	1.83	1.83	1.29	0.99	0	0.87	1.05	1.8	0.96
1894	0.84	0.96	1.62	1.62	1.59	1.44	0	1.44	1.53	1.92	0.96
1895	0.84	0.81	1.17	1.5	1.5	1.14	0	0.81	1.41	1.62	0.72
1896	0.99	0.93	1.47	1.08	1.47	1.11	0	0.84	1.26	2.01	0.72
1897	0.6	0.87	1.68	0.81	1.56	0.87	0	0.99	1.05	1.86	0.75
1898	0.57	0.84	1.62	0.9	1.53	0.9	0	1.02	1.02	1.83	0.78
1899	0.75	0.84	1.56	0.87	1.95	0.9	0	0.75	0.9	1.41	0.87
1900	0.99	0.84	1.47	0.72	1.77	NA	0	0.57	0.9	1.65	0.84
1901	1.23	0.87	1.44	0.93	1.86	NA	0	0.72	1.02	1.86	0.87
1902	1.05	0.84	1.35	0.9	2.04	NA	0	0.66	0.96	2.01	0.87
1903	1.62	0.81	2.07	0.9	1.89	NA	0	1.35	1.05	2.25	0.9
1904	1.65	0.87	1.83	1.02	2.22	NA	0	1.5	1.02	2.61	0.99
1905	1.68	0.9	1.77	0.69	1.98	NA	0	1.23	0.84	2.43	0.99
1906	1.44	0.75	1.14	0.87	1.92	NA	0	1.2	0.81	2.07	0.75
1907	1.41	0.75	1.56	0.87	1.77	NA	0	1.38	0.78	2.28	0.84
1908	1.17	0.9	1.47	1.05	1.59	NA	0	1.47	0.72	2.13	0.87
1909	1.11	0.81	1.47	0.87	1.65	NA	0	1.47	0.84	2.07	0.93
1910	1.29	0.87	1.08	0.9	1.62	NA	0	1.29	0.66	1.77	0.78
1911	0.84	0.75	0.96	0.63	1.23	NA	0	0.99	0.6	1.47	0.78
1912	0.93	0.84	0.96	0.78	1.2	NA	0	1.77	0.63	1.86	0.78
1913	1.17	0.9	0.93	0.84	1.23	NA	0	1.53	0.72	1.8	0.81
1914	1.05	0.9	1.08	0.72	1.35	NA	0	1.5	0.66	1.62	0.96
1915	0.72	0.6	0.99	0.39	1.11	NA	0	0.93	0.51	1.2	0.81
1916	0.72	0.69	0.84	0.6	1.23	NA	0	0.84	0.6	1.23	0.81
1917	1.23	0.81	1.05	0.84	1.14	NA	0	1.02	0.75	1.14	0.96
1918	1.11	0.72	1.08	0.66	1.2	NA	0	1.05	0.6	1.35	1.08
1919	1.59	0.75	1.14	0.84	1.29	NA	0	1.17	0.66	1.14	0.99
1920	1.05	0.57	0.96	0.69	1.11	NA	0	0.93	0.66	0.99	0.96
1921	0.96	0.6	1.02	0.42	0.87	NA	0	0.99	0.45	1.05	0.78
1922	1.05	0.75	1.44	0.72	1.5	NA	0	1.08	0.72	1.32	1.02
1923	0.93	0.69	1.59	0.87	1.41	NA	0	1.35	0.6	1.65	0.93
1924	1.14	0.72	1.59	0.84	1.65	NA	0	1.62	1.2	1.83	1.14
1925	0.84	0.66	1.71	0.6	1.59	NA	0.36	1.14	0.78	2.13	0.84
1926	0.87	0.69	1.23	0.66	1.32	NA	0.39	1.11	0.72	2.01	0.87
1927	0.84	0.66	1.26	0.57	1.17	NA	0.33	0.93	0.57	2.07	0.81
1928	0.69	0.57	0.81	0.54	0.9	NA	0.3	0.78	0.6	1.86	0.57
1929	0.57	0.63	1.05	0.6	0.93	NA	0.3	0.66	0.66	1.62	0.63
1930	0.87	0.72	1.32	0.75	1.44	NA	0.45	1.2	0.72	2.01	1.02
1931	0.84	0.9	1.98	0.72	1.74	NA	0.36	1.65	0.84	2.64	1.11
1932	0.87	1.08	2.31	0.6	2.28	NA	0.48	1.92	0.99	2.64	1.14
1933	0.75	0.6	1.8	0.6	2.07	NA	0.45	1.5	0.81	2.46	0.99
1934	0.75	0.51	1.59	0.42	1.71	NA	0.45	0.99	0.6	2.13	0.87
1935	0.72	0.81	2.19	0.45	1.77	NA	0.39	1.26	0.66	2.22	0.96
1936	0.75	0.72	1.95	0.51	1.35	NA	0.3	0.84	0.75	1.83	1.05
1937	0.78	0.6	1.68	0.48	1.14	NA	0.57	0.69	0.69	1.5	0.9
1938	0.66	0.63	1.53	0.63	0.99	NA	0.45	0.78	0.66	1.62	1.17
1939	0.78	0.63	1.32	0.6	0.9	NA	0.63	0.6	0.6	1.5	1.32
1940	0.84	0.72	1.26	0.75	1.2	NA	0.72	0.57	0.75	1.56	1.68
1941	0.87	0.66	1.23	0.66	1.2	NA	0.69	0.81	0.45	1.68	1.65
1942	0.9	0.63	1.32	0.69	1.35	NA	0.69	0.66	0.63	1.59	2.13
1943	0.84	0.69	1.29	0.6	1.23	NA	0.69	0.75	0.78	1.65	1.89
1944	1.11	0.84	1.29	0.54	1.26	NA	0.63	0.87	0.69	1.62	1.92
1945	0.99	0.72	1.41	0.75	1.02	NA	0.81	0.75	0.69	1.56	1.89
1946	1.2	0.81	1.44	0.75	1.05	NA	0.57	0.72	0.63	1.38	1.98
1947	0.93	0.69	1.2	0.63	0.96	NA	0.6	0.84	0.48	1.02	1.32
1948	1.44	0.81	1.32	0.87	1.26	NA	0.66	1.02	0.6	1.44	2.19
1949	1.32	0.87	1.38	0.93	1.32	NA	0.51	0.99	0.69	0.96	2.4
1950	0.93	0.75	1.71	0.87	1.44	NA	0.6	1.02	0.84	1.56	2.07
1951	1.35	0.6	1.83	0.81	1.47	NA	0.66	1.08	0.72	1.74	1.92
1952	1.38	0.63	1.65	0.87	1.56	NA	0.57	1.2	0.81	2.01	1.53
1953	1.35	0.72	1.62	0.6	1.56	NA	0.51	0.93	0.51	1.68	1.11
1954	1.29	0.72	1.47	0.78	1.68	NA	0.48	0.6	0.48	1.47	0.75
1955	1.08	0.63	1.26	0.63	1.74	NA	0.48	0.57	0.3	1.23	1.14
1956	0.66	0.66	1.14	0.78	1.17	NA	0.33	0.57	0.27	1.17	1.32
1957	0.9	0.48	1.02	0.57	1.23	NA	0.39	0.42	0.27	1.2	0.9
1958	1.17	0.93	1.38	0.9	1.53	NA	0.39	0.63	0.51	1.74	1.17
1959	1.14	0.81	1.29	0.96	1.59	NA	0.54	0.99	0.51	1.44	0.99
1960	1.14	0.66	1.17	0.66	1.83	NA	0.33	0.63	0.51	1.62	0.96
1961	0.99	0.75	1.29	0.72	1.77	NA	0.3	0.9	0.51	1.41	0.99
1962	1.08	0.63	1.23	0.75	1.83	NA	0.33	0.75	0.6	1.35	1.05
1963	0.9	0.66	1.08	0.78	1.65	NA	0.39	0.6	0.63	1.17	1.02
1964	0.96	0.6	1.05	0.6	1.59	NA	0.42	0.69	0.63	1.17	0.75
1965	0.78	0.72	1.35	0.6	2.07	NA	0.36	0.87	0.63	1.35	0.93
1966	1.08	0.81	1.26	0.75	1.95	NA	0.45	0.87	0.54	1.29	1.08
1967	1.05	0.75	1.35	0.78	2.1	NA	0.45	1.08	0.66	1.32	1.74
1968	1.02	0.6	1.05	0.63	1.53	NA	0.42	0.72	0.51	1.05	1.11
1969	0.9	0.57	0.99	0.57	1.2	NA	0.36	0.48	0.42	0.9	1.11
1970	0.96	0.66	1.05	0.51	1.44	NA	0.36	0.69	0.48	0.81	0.9
1971	0.84	0.54	1.08	0.57	1.44	NA	0.36	0.93	0.57	0.78	0.72
1972	0.66	0.48	1.05	0.63	1.92	NA	0.39	0.93	0.69	0.75	0.63
1973	0.81	0.54	1.14	0.72	1.47	NA	0.48	0.99	0.66	0.93	0.87
1974	0.81	0.45	0.93	0.57	1.38	NA	0.24	0.93	0.45	0.81	0.9
1975	0.27	0.45	0.84	0.6	2.01	NA	0.48	0.69	0.54	0.69	1.11
1976	0.03	0.57	0.99	0.57	1.8	NA	0.57	0.69	0.45	0.87	1.23
1977	0.69	0.63	0.9	0.63	2.01	NA	0.57	0.84	0.54	0.93	2.04
1978	0.93	0.63	0.93	0.66	2.07	NA	0.57	0.99	0.57	0.99	1.62
1979	0.45	0.48	0.78	0.6	2.01	NA	0.54	0.6	0.54	0.9	0.93
1980	0.39	0.66	0.81	0.66	1.65	NA	0.63	0.84	0.48	0.93	1.14
